event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27220869612,true,2002-03-30 00:00:00.000,15.769,2.476,"1","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869613,true,2002-03-31 00:00:00.000,15.74,2.502,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869614,true,2002-03-31 00:00:00.000,15.744,2.506,"2","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869615,true,2002-03-31 00:00:00.000,15.747,2.507,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869616,true,2002-04-01 00:00:00.000,15.771,2.479,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869617,true,2002-04-01 00:00:00.000,15.77,2.485,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869618,true,2002-04-02 00:00:00.000,15.849,2.493,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869619,true,2002-04-02 00:00:00.000,15.795,2.514,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869620,true,2002-04-02 00:00:00.000,15.766,2.51,"2","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869621,true,2002-04-03 00:00:00.000,15.761,2.518,"2","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869622,true,2002-04-03 00:00:00.000,15.74,2.508,"1","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869623,true,2002-04-04 00:00:00.000,15.735,2.574,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869624,true,2002-04-04 00:00:00.000,15.774,2.602,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869625,true,2002-04-05 00:00:00.000,15.729,2.62,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869626,true,2002-04-06 00:00:00.000,15.725,2.589,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869627,true,2002-04-07 00:00:00.000,15.729,2.592,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869628,true,2002-04-07 00:00:00.000,15.718,2.568,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869629,true,2002-04-07 00:00:00.000,15.744,2.596,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869630,true,2002-04-08 00:00:00.000,15.785,2.57,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869631,true,2002-04-08 00:00:00.000,15.732,2.596,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869632,true,2002-04-08 00:00:00.000,15.74,2.6,"2","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869633,true,2002-04-09 00:00:00.000,15.757,2.599,"1","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869634,true,2002-04-10 00:00:00.000,15.721,2.606,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869635,true,2002-04-10 00:00:00.000,15.749,2.613,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869636,true,2002-04-10 00:00:00.000,15.75,2.609,"A","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869637,true,2002-04-10 00:00:00.000,15.731,2.607,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869638,true,2002-04-11 00:00:00.000,15.712,2.588,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869639,true,2002-04-11 00:00:00.000,15.764,2.603,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869640,true,2002-04-12 00:00:00.000,15.558,2.6,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869641,true,2002-04-13 00:00:00.000,15.746,2.68,"2","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869642,true,2002-04-14 00:00:00.000,15.761,2.69,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869643,true,2002-04-14 00:00:00.000,15.752,2.688,"3","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869644,true,2002-04-14 00:00:00.000,15.746,2.683,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
27220869645,true,2002-04-15 00:00:00.000,15.747,2.635,"B","argos-doppler-shift",,"#2789898388","14118","Elephant Research - Lobeke National Park (Cameroon) - Collar 14120"
