event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
26572848103,true,2018-08-31 10:01:06.000,-4.923887,6.855152,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848104,true,2018-08-31 12:00:36.000,-4.924251,6.852899,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848105,true,2018-08-31 14:00:50.000,-4.924305,6.851429,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848106,true,2018-08-31 16:00:34.000,-4.922052,6.861364,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848107,true,2018-08-31 18:01:31.000,-4.921001,6.860742,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848108,true,2018-08-31 20:00:55.000,-4.920292,6.866857,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848109,true,2018-08-31 22:01:24.000,-4.907708,6.873177,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848110,true,2018-09-01 00:01:25.000,-4.900444,6.876524,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848111,true,2018-09-01 02:02:31.000,-4.899693,6.882092,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848112,true,2018-09-01 04:00:37.000,-4.895144,6.885687,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848113,true,2018-09-01 06:01:25.000,-4.896829,6.892746,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848114,true,2018-09-01 08:00:44.000,-4.888943,6.893207,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848115,true,2018-09-01 10:00:36.000,-4.894586,6.892714,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848116,true,2018-09-01 12:01:01.000,-4.895316,6.89178,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848117,true,2018-09-01 14:00:35.000,-4.895627,6.893497,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848118,true,2018-09-01 16:01:25.000,-4.888149,6.89324,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848119,true,2018-09-01 18:00:37.000,-4.882913,6.893615,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848120,true,2018-09-01 20:00:49.000,-4.888803,6.86954,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848121,true,2018-09-01 22:01:49.000,-4.872635,6.842996,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848122,true,2018-09-02 00:00:37.000,-4.863451,6.8457,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848123,true,2018-09-02 02:01:50.000,-4.862217,6.847342,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848124,true,2018-09-02 04:01:07.000,-4.856059,6.84835,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848125,true,2018-09-02 06:01:37.000,-4.862099,6.840958,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848126,true,2018-09-02 08:01:02.000,-4.856284,6.826882,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848127,true,2018-09-02 10:00:54.000,-4.855458,6.826839,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848128,true,2018-09-02 12:02:32.000,-4.856295,6.828523,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848129,true,2018-09-02 14:01:06.000,-4.850255,6.827075,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848130,true,2018-09-02 16:00:50.000,-4.84901,6.826538,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848131,true,2018-09-02 18:01:36.000,-4.845974,6.827772,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848132,true,2018-09-02 20:01:55.000,-4.864084,6.827365,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848133,true,2018-09-03 00:01:01.000,-4.880349,6.824833,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848134,true,2018-09-03 02:01:20.000,-4.885638,6.836978,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848135,true,2018-09-03 04:00:34.000,-4.940377,6.859294,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848136,true,2018-09-03 06:01:20.000,-4.94366,6.856579,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848137,true,2018-09-03 08:00:35.000,-4.942394,6.854412,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848138,true,2018-09-03 10:00:37.000,-4.945344,6.859176,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848139,true,2018-09-03 12:01:54.000,-4.94823,6.860763,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
26572848140,true,2018-09-03 14:01:32.000,-4.946106,6.86145,"Succeeded","gps","Elephantidae","Collar 1630","Collar 1630","Elephant Research - Ivory Coast - Collar 1630"
