latitude,longitude,timestamp,temperature_2m,relative_humidity_2m,precipitation,wind_speed_10m,wind_direction_10m,snowfall,weather_code,cloud_cover
6.9724278,-4.8036623,2018-08-31T00:00,23.5,91,0.1,7.0,201,0.0,51,96
6.9724278,-4.8036623,2018-08-31T01:00,23.3,94,0.2,7.9,196,0.0,51,96
6.9724278,-4.8036623,2018-08-31T02:00,23.0,95,0.1,8.4,205,0.0,51,98
6.9724278,-4.8036623,2018-08-31T03:00,22.5,97,0.1,8.9,201,0.0,51,99
6.9724278,-4.8036623,2018-08-31T04:00,22.4,97,0.0,8.8,199,0.0,3,96
6.9724278,-4.8036623,2018-08-31T05:00,22.2,98,0.0,8.4,205,0.0,3,100
6.9724278,-4.8036623,2018-08-31T06:00,22.1,98,0.2,6.7,216,0.0,51,100
6.9724278,-4.8036623,2018-08-31T07:00,22.3,97,0.1,6.4,218,0.0,51,90
6.9724278,-4.8036623,2018-08-31T08:00,23.2,94,0.1,6.5,214,0.0,51,71
6.9724278,-4.8036623,2018-08-31T09:00,24.7,84,0.1,9.2,225,0.0,51,82
6.9724278,-4.8036623,2018-08-31T10:00,26.0,81,0.1,5.4,228,0.0,51,100
6.9724278,-4.8036623,2018-08-31T11:00,27.1,74,0.3,3.9,248,0.0,51,84
6.9724278,-4.8036623,2018-08-31T12:00,26.4,77,1.5,3.1,249,0.0,61,92
6.9724278,-4.8036623,2018-08-31T13:00,27.4,76,0.3,3.9,326,0.0,51,97
6.9724278,-4.8036623,2018-08-31T14:00,28.0,71,0.2,5.0,300,0.0,51,99
6.9724278,-4.8036623,2018-08-31T15:00,27.5,73,0.5,7.6,245,0.0,53,100
6.9724278,-4.8036623,2018-08-31T16:00,25.4,85,2.1,6.2,249,0.0,61,100
6.9724278,-4.8036623,2018-08-31T17:00,25.7,83,0.1,6.4,223,0.0,51,100
6.9724278,-4.8036623,2018-08-31T18:00,25.3,86,0.0,6.6,209,0.0,3,95
6.9724278,-4.8036623,2018-08-31T19:00,24.3,91,0.0,8.1,193,0.0,3,88
6.9724278,-4.8036623,2018-08-31T20:00,23.7,94,0.0,9.3,196,0.0,3,88
6.9724278,-4.8036623,2018-08-31T21:00,23.3,94,0.0,7.1,195,0.0,3,96
6.9724278,-4.8036623,2018-08-31T22:00,23.1,94,0.0,5.8,202,0.0,3,97
6.9724278,-4.8036623,2018-08-31T23:00,22.8,95,0.0,7.0,201,0.0,3,99
6.9724278,-4.8036623,2018-09-01T00:00,22.6,99,0.0,5.8,202,0.0,3,96
6.9724278,-4.8036623,2018-09-01T01:00,22.6,99,0.0,5.7,198,0.0,3,100
6.9724278,-4.8036623,2018-09-01T02:00,22.6,97,0.3,6.2,234,0.0,51,99
6.9724278,-4.8036623,2018-09-01T03:00,22.6,98,0.3,5.2,236,0.0,51,99
6.9724278,-4.8036623,2018-09-01T04:00,22.4,98,0.2,3.8,253,0.0,51,97
6.9724278,-4.8036623,2018-09-01T05:00,22.3,96,0.6,3.1,249,0.0,53,100
6.9724278,-4.8036623,2018-09-01T06:00,22.4,96,0.1,5.0,201,0.0,51,95
6.9724278,-4.8036623,2018-09-01T07:00,22.6,96,0.0,6.2,216,0.0,3,100
6.9724278,-4.8036623,2018-09-01T08:00,23.1,95,0.1,6.1,225,0.0,51,98
6.9724278,-4.8036623,2018-09-01T09:00,24.0,90,0.4,7.0,215,0.0,51,95
6.9724278,-4.8036623,2018-09-01T10:00,25.0,89,0.6,6.0,205,0.0,53,100
6.9724278,-4.8036623,2018-09-01T11:00,24.2,90,4.4,7.4,223,0.0,63,95
6.9724278,-4.8036623,2018-09-01T12:00,24.8,92,0.2,9.2,296,0.0,51,76
6.9724278,-4.8036623,2018-09-01T13:00,25.1,90,1.7,5.7,235,0.0,61,81
6.9724278,-4.8036623,2018-09-01T14:00,27.0,78,0.2,6.4,218,0.0,51,79
