event-id,visible,timestamp,location-long,location-lat,comments,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
27199244721,true,2004-05-01 00:54:12.000,16.078,2.191,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244722,true,2004-05-01 04:06:52.000,16.077,2.184,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244723,true,2004-05-01 04:59:13.000,16.077,2.179,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244724,true,2004-05-01 06:50:32.000,16.052,2.192,"2","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244725,true,2004-05-02 00:42:59.000,16.075,2.173,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244726,true,2004-05-02 06:14:24.000,16.076,2.175,"2","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244727,true,2004-05-02 06:37:17.000,16.084,2.171,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244728,true,2004-05-03 03:19:00.000,16.069,2.193,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244729,true,2004-05-03 06:23:31.000,16.071,2.204,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244730,true,2004-05-04 02:55:34.000,16.078,2.177,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244731,true,2004-05-04 05:29:05.000,16.016,2.194,"1","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244732,true,2004-05-05 01:49:58.000,16.06,2.201,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244733,true,2004-05-05 05:05:09.000,16.077,2.177,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244734,true,2004-05-06 01:37:43.000,16.057,2.183,"A","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244735,true,2004-05-06 03:46:50.000,16.014,2.202,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244736,true,2004-05-06 04:40:12.000,16.063,2.178,"A","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244737,true,2004-05-06 06:19:20.000,16.066,2.19,"B","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244738,true,2004-05-06 07:27:27.000,16.057,2.184,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244739,true,2004-05-07 01:26:30.000,16.066,2.188,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244740,true,2004-05-07 05:57:56.000,16.07,2.182,"A","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244741,true,2004-05-08 05:34:00.000,16.058,2.184,"A","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
27199244742,true,2004-05-09 01:04:03.000,16.081,2.175,"3","argos-doppler-shift",,"#2784433468","46179","Elephant Research - Lobeke National Park (Cameroon) - Collar 46179"
