event-id,visible,timestamp,location-long,location-lat,gps:hdop,height-above-ellipsoid,lotek:eres,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
33444752813,true,2020-08-15 22:00:05.000,101.58835,37.01948,1.2,2501.78,0.8,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752814,true,2020-08-20 22:00:11.000,101.5884,37.01958,1.1,2495.68,2.2,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752815,true,2020-08-25 22:00:04.000,101.58831,37.01958,1.3,2494.99,0.9,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752816,true,2020-08-30 22:00:05.000,101.58837,37.01958,1.4,2496.39,1.0,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752817,true,2020-09-04 22:00:04.000,101.58836,37.01958,1.1,2492.55,1.3,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752818,true,2020-09-09 22:00:04.000,101.58839,37.01957,1.1,2494.26,0.6,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752819,true,2020-09-14 22:00:06.000,101.58831,37.01954,1.5,2495.07,0.7,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752820,true,2020-09-17 22:00:07.000,101.58839,37.01956,1.9,2496.75,0.8,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752821,true,2020-09-20 22:00:06.000,101.58826,37.01954,1.3,2480.4,1.6,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752822,true,2020-09-23 22:00:10.000,101.58734,37.01793,1.3,2485.9,1.1,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752823,true,2020-09-26 22:00:06.000,101.58727,37.01782,1.1,2494.19,3.4,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752824,true,2020-09-29 22:00:07.000,101.58727,37.01781,2.2,2496.03,1.8,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752825,true,2020-10-02 22:00:11.000,101.58732,37.01791,2.7,2495.36,1.1,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752826,true,2020-10-05 22:00:07.000,101.5872,37.01765,2.0,2494.79,0.7,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752827,true,2020-10-08 22:00:06.000,105.18382,34.70054,2.0,1746.76,0.7,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752828,true,2020-10-11 22:00:06.000,106.40715,34.76415,3.3,1839.59,1.1,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752829,true,2020-10-14 22:00:11.000,106.40758,34.76412,8.0,1838.84,1.8,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752830,true,2020-10-17 22:00:08.000,110.77365,31.93214,1.2,1713.14,3.1,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752831,true,2020-10-20 22:00:04.000,111.24399,28.27316,1.8,799.0,1.1,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752832,true,2020-10-25 23:00:08.000,,,,,,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752833,true,2020-10-30 23:00:10.000,110.16835,27.65352,4.7,507.09,2.5,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752834,true,2020-11-04 23:00:11.000,110.1681,27.65344,2.8,507.09,0.2,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752835,true,2020-11-09 23:00:11.000,110.16825,27.6535,3.5,505.24,1.4,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752836,true,2020-11-14 23:00:11.000,102.59747,17.06119,1.5,222.49,1.0,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752837,true,2020-12-14 23:00:11.000,100.03928,15.91944,2.3,7300.17,0.0,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752838,true,2021-01-12 23:00:07.000,99.94966,15.83165,1.0,-8.89,1.2,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752839,true,2021-02-10 23:00:04.000,99.88135,15.41316,1.5,11.97,2.7,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
33444752840,true,2021-03-11 23:00:07.000,,,,,,"gps","Luscinia calliope","49989","49989","Siberian rubythroat tracking from Qinghai, China"
