,timestamp,location-lat,location-long,tag-local-identifier
0,2024-09-12 12:00:00,21.288498,-157.9258,204413
53,2024-09-13 12:00:00,21.284702,-157.94914,204413
98,2024-09-14 12:00:00,25.6706,-136.5609,204413
109,2024-09-15 12:00:00,21.316645,-157.5967,204413
153,2024-09-17 12:00:00,21.291552,-158.12462,204413
173,2024-09-18 12:00:00,21.552826,-158.25763,204413
185,2024-09-19 12:00:00,21.701792,-158.51321,204413
208,2024-09-20 12:00:00,22.0065,-158.8856,204413
263,2024-09-21 12:00:00,21.7891,-159.7173,204413
317,2024-09-22 12:00:00,22.094585,-159.79388,204413
337,2024-09-23 12:00:00,22.07632,-159.80147,204413
370,2024-09-24 12:00:00,22.18613,-159.78455,204413
449,2024-09-26 12:00:00,21.9078,-160.132,204413
468,2024-09-27 12:00:00,22.6239,-161.3949,204413
482,2024-09-28 12:00:00,22.9393,-161.5881,204413
501,2024-10-01 12:00:00,22.9302,-161.6422,204413
516,2024-10-03 12:00:00,22.9905,-162.2296,204413
523,2024-10-05 12:00:00,23.0557,-162.2988,204413
538,2024-10-08 12:00:00,23.0294,-162.2065,204413
545,2024-10-09 12:00:00,23.0581,-162.2483,204413
571,2024-10-10 12:00:00,22.9659,-162.1958,204413
579,2024-10-12 12:00:00,22.972332,-162.40326,204413
592,2024-10-13 12:00:00,22.972332,-162.40326,204413
604,2024-10-15 12:00:00,23.259686,-163.0878,204413
612,2024-10-16 12:00:00,23.3742,-163.1572,204413
645,2024-10-17 12:00:00,23.7395,-163.8918,204413
677,2024-10-18 12:00:00,23.9639,-164.3542,204413
703,2024-10-27 12:00:00,23.3919,-164.8038,204413
711,2024-10-28 12:00:00,23.7131,-164.8551,204413
736,2024-10-30 12:00:00,23.6218,-164.7807,204413
743,2024-10-31 12:00:00,23.533232,-164.61075,204413
769,2024-11-02 12:00:00,23.589571,-164.78183,204413
791,2024-11-03 12:00:00,23.7587,-165.0859,204413
798,2024-11-04 12:00:00,23.552427,-164.54736,204413
813,2024-11-06 12:00:00,23.5549,-164.7714,204413
820,2024-11-08 12:00:00,23.6108,-164.5953,204413
834,2024-11-12 12:00:00,17.7694,-157.9091,204413
846,2024-11-18 12:00:00,23.634981,-164.72128,204413
854,2024-11-19 12:00:00,23.6175,-165.3948,204413
867,2024-11-23 12:00:00,23.589,-164.7659,204413
879,2024-12-03 12:00:00,23.65098,-164.62532,204413
886,2024-12-04 12:00:00,23.65098,-164.62532,204413
900,2024-12-05 12:00:00,23.597662,-164.80922,204413
912,2024-12-10 12:00:00,23.6055,-164.6251,204413
919,2024-12-19 12:00:00,23.308,-164.3081,204413
934,2024-12-22 12:00:00,23.2931,-164.3563,204413
941,2024-12-25 12:00:00,23.2931,-164.3563,204413
977,2025-01-19 12:00:00,23.5817,-164.7526,204413
989,2025-02-01 12:00:00,23.2046,-163.9502,204413
997,2025-02-05 12:00:00,21.7906,-164.4531,204413
1010,2025-02-06 12:00:00,21.8628,-164.2814,204413
1062,2025-02-07 12:00:00,22.9666,-161.9448,204413
1077,2025-02-12 12:00:00,22.9666,-161.9448,204413
1087,2025-02-20 12:00:00,23.1286,-162.8534,204413
1098,2025-02-25 12:00:00,22.9864,-164.9545,204413
